Starting gRPC export scanner (v2) for 'Chuyện Công Chúa'...
Log will be saved to '/home/ws/grpc_exports.log'
[+] Found libgrpc_csharp_ext.so at: 0x6b64294000
    - function: _ZN3re214SimplifyWalker14SimplifyRepeatEPNS_6RegexpEiiNS1_10ParseFlagsE (Address: 0x6b645af1e4)
    - variable: _ZTVSt9type_info (Address: 0x6b64916770)
    - variable: validate_Int64Rules_msginit (Address: 0x6b648fe710)
    - function: _ZNSt6__ndk16__treeINS_12__value_typeINS_12basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEEN9grpc_core24CertificateProviderStore16PluginDefinitionEEENS_19__map_value_compareIS7_SB_NS_4lessIS7_EELb1EEENS5_ISB_EEE4findIS7_EENS_15__tree_iteratorISB_PNS_11__tree_nodeISB_PvEElEERKT_ (Address: 0x6b644e1c94)
    - function: _ZNKSt6__ndk120__time_get_c_storageIwE3__xEv (Address: 0x6b6472bfc4)
    - variable: _ZTSN9grpc_core19LoadBalancingPolicy9CallStateE (Address: 0x6b64774270)
    - variable: has_real_wakeup_fd (Address: 0x6b6491fe40)
    - variable: _ZTVN4absl12lts_2021032417BadStatusOrAccessE (Address: 0x6b64902070)
    - function: _ZN9grpc_core18ManagedMemorySliceC1EPKcm (Address: 0x6b6443ee6c)
    - function: grpcsharp_batch_context_recv_initial_metadata (Address: 0x6b643e70c4)
    - function: _ZN9grpc_core13ClientChannel24RemoveResolverQueuedCallEPNS0_18ResolverQueuedCallEP19grpc_polling_entity (Address: 0x6b643ee5cc)
    - function: _ZNSt6__ndk16vectorIP10grpc_errorNS_9allocatorIS2_EEE21__push_back_slow_pathIRKS2_EEvOT_ (Address: 0x6b64400f20)
    - function: _ZN9grpc_core38LockedMultiProducerSingleConsumerQueue4PushEPNS_32MultiProducerSingleConsumerQueue4NodeE (Address: 0x6b645b5998)
    - variable: _ZTIN9grpc_core19LoadBalancingPolicy20ChannelControlHelperE (Address: 0x6b648f2688)
    - function: _Z31alts_crypter_num_overhead_bytesPK12alts_crypter (Address: 0x6b6457cab0)
    - function: upb_enumdef_iton (Address: 0x6b645b74a8)
    - function: grpc_tls_server_authorization_check_config_create (Address: 0x6b64562aa8)
    - variable: _ZTISt8bad_cast (Address: 0x6b649167a0)
    - function: _ZNSt6__ndk18ios_base7failureC1EPKcRKNS_10error_codeE (Address: 0x6b646fce6c)
    - function: _Z22grpc_channel_args_copyPK17grpc_channel_args (Address: 0x6b644181b4)
    - function: _ZN9grpc_core13SubchannelKey4InitEPK17grpc_channel_argsPFPS1_S3_E (Address: 0x6b644128d0)
    - function: _ZNSt6__ndk18ios_base5imbueERKNS_6localeE (Address: 0x6b646f1650)
    - function: _ZSt18make_exception_ptrINSt6__ndk112future_errorEESt13exception_ptrT_ (Address: 0x6b64740bf8)
    - function: _ZN4absl12lts_2021032424synchronization_internal12PerThreadSem4InitEPNS0_13base_internal14ThreadIdentityE (Address: 0x6b645dfc50)
    - variable: envoy_extensions_filters_network_http_connection_manager_v3_HttpConnectionManager_SetCurrentClientCertDetails_msginit (Address: 0x6b648fcdf8)
    - variable: envoy_type_matcher_v3_string_proto_upbdefinit (Address: 0x6b649210e8)
    - function: _ZN4absl12lts_2021032423inlined_vector_internal7StorageINSt6__ndk110unique_ptrIN9grpc_core15ResolverFactoryENS3_14default_deleteIS6_EEEELm10ENS3_9allocatorIS9_EEE15DestroyContentsEv (Address: 0x6b643ff980)
    - variable: _ZTIPDi (Address: 0x6b64916060)
    - function: upb_map_set (Address: 0x6b645c1780)
    - function: _ZN9grpc_core26ExternalAccountCredentials7OptionsD2Ev (Address: 0x6b6455c2c0)
    - function: _ZNKSt6__ndk110moneypunctIcLb0EE14do_curr_symbolEv (Address: 0x6b64710db0)
    - function: _ZNKSt6__ndk115__codecvt_utf16IDiLb1EE5do_inER9mbstate_tPKcS5_RS5_PDiS7_RS7_ (Address: 0x6b64729dd0)
    - function: _ZNSt6__ndk112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE7replaceEmmPKcm (Address: 0x6b6458e254)
    - variable: _ZTIN9grpc_core9XdsClient12ChannelState12AdsCallState13ResourceStateE (Address: 0x6b648f9830)
    - variable: _ZN9grpc_core21grpc_handshaker_traceE (Address: 0x6b64924c10)
    - variable: envoy_extensions_transport_sockets_tls_v3_CommonTlsContext_msginit (Address: 0x6b648fd118)
    - function: _ZN9grpc_core6Server8CallData32RecvInitialMetadataBatchCompleteEPvP10grpc_error (Address: 0x6b644516f0)
    - variable: _ZN9grpc_core30grpc_xds_cluster_impl_lb_traceE (Address: 0x6b649249a8)
    - function: grpcsharp_channel_check_connectivity_state (Address: 0x6b643e74b8)
    - function: _ZNSt6__ndk17promiseIvE9set_valueEv (Address: 0x6b64740d30)
    - function: _Z34alts_iovec_record_protocol_destroyP26alts_iovec_record_protocol (Address: 0x6b6457c7b8)
    - function: _ZNSt6__ndk16vectorIN9grpc_core32FaultInjectionMethodParsedConfig20FaultInjectionPolicyENS_9allocatorIS3_EEE10deallocateEv (Address: 0x6b644bea74)
    - function: _ZNSt6__ndk14pairIKNS_12basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEEN9grpc_core9XdsClient12ClusterStateEED2Ev (Address: 0x6b6451be90)
    - function: _ZN4absl12lts_2021032423inlined_vector_internal7StorageIN9grpc_core13RefCountedPtrI21grpc_call_credentialsEELm2ENSt6__ndk19allocatorIS6_EEE15EmplaceBackSlowIJS6_EEERS6_DpOT_ (Address: 0x6b64433b54)
    - variable: _ZTSNSt6__ndk119__shared_weak_countE (Address: 0x6b64806590)
    - variable: envoy_config_trace_v3_Tracing_Http_msginit (Address: 0x6b648fcca8)
    - function: _ZNSt6__ndk19to_stringEe (Address: 0x6b6473d050)
    - function: _ZN9grpc_core8channelz10SocketNodeC1ENSt6__ndk112basic_stringIcNS2_11char_traitsIcEENS2_9allocatorIcEEEES8_S8_NS_13RefCountedPtrINS1_8SecurityEEE (Address: 0x6b644213d4)
    - function: _ZNSt6__ndk114__split_bufferIN9grpc_core32FaultInjectionMethodParsedConfig20FaultInjectionPolicyERNS_9allocatorIS3_EEED2Ev (Address: 0x6b644be840)
    - function: _ZN4absl12lts_2021032423inlined_vector_internal7StorageINSt6__ndk110unique_ptrIN9grpc_core26LoadBalancingPolicyFactoryENS3_14default_deleteIS6_EEEELm10ENS3_9allocatorIS9_EEE15EmplaceBackSlowIJS9_EEERS9_DpOT_ (Address: 0x6b643fd084)
    - function: _ZN4absl12lts_2021032419str_format_internal13FormatArgImpl8DispatchIjEEbNS2_4DataENS1_24FormatConversionSpecImplEPv (Address: 0x6b645d0b0c)
    - variable: _ZTSN9grpc_core19ServiceConfigParser12ParsedConfigE (Address: 0x6b647754b0)
    - function: _ZN4absl12lts_2021032415TimeFromTimevalE7timeval (Address: 0x6b645e4fac)
